value3,fat0.8,3,3,4,
value3,fat0.4,3,3,3,
value3,fat0.2,3,3,3,
value3,fat0,3,3,3,
value3,fat-0.2,3,3,3,
value3,fat-0.4,3,3,3,
value3,fat-0.8,3,3,3,
value2,fat0.8,3,3,4,
value2,fat0.4,3,3,3,
value2,fat0.2,3,3,3,
value2,fat0,3,3,3,
value2,fat-0.2,3,3,3,
value2,fat-0.4,3,3,3,
value2,fat-0.8,3,3,3,
value1,fat0.8,4,4,4,
value1,fat0.4,3,3,4,
value1,fat0.2,3,3,4,
value1,fat0,3,3,3,
value1,fat-0.2,3,3,4,
value1,fat-0.4,3,3,4,
value1,fat-0.8,4,4,4,
value0,fat0.8,4,4,4,
value0,fat0.4,3,3,4,
value0,fat0.2,3,3,4,
value0,fat0,3,3,3,
value0,fat-0.2,3,3,4,
value0,fat-0.4,3,3,4,
value0,fat-0.8,4,4,4,